ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,0,80,0,-80
1,0,0,3,0,-3
2,0,0,49,0,-49
3,1,1,1429,1275,-154
4,1,1,190,1571,1381
5,1,1,417,1273,856
6,0,0,4,0,-4
7,1,0,94,0,-94
8,1,0,78,0,-78
9,0,0,119,0,-119
10,0,0,20,0,-20
11,1,1,648,1383,735
12,1,1,617,1221,604
13,0,0,28,0,-28
14,1,0,78,0,-78
15,1,0,55,0,-55
16,1,1,851,1223,372
17,1,0,101,0,-101
18,0,0,43,0,-43
19,1,0,54,0,-54
20,1,0,115,0,-115
21,1,0,5,0,-5
22,0,0,3,0,-3
23,1,0,53,0,-53
24,1,0,1,0,-1
25,1,1,558,1210,652
26,1,1,254,1660,1406
27,1,0,77,0,-77
28,1,0,4,0,-4
29,1,1,787,1380,593
30,0,0,2,0,-2
31,1,0,14,0,-14
32,0,0,30,0,-30
33,1,1,829,1685,856
34,0,0,44,0,-44
35,1,1,374,1265,891
36,1,1,815,1978,1163
37,1,0,60,0,-60
38,1,0,9,0,-9
39,1,1,252,1507,1255
40,0,0,171,0,-171
41,1,1,1067,1459,392
42,1,1,2029,1215,-814
43,0,0,16,0,-16
44,1,0,5,0,-5
45,1,0,84,0,-84
46,0,0,53,0,-53
47,1,1,425,1320,895
48,1,0,17,0,-17
49,1,1,693,3362,2669
50,0,0,26,0,-26
51,0,0,57,0,-57
52,1,0,42,0,-42
53,0,0,82,0,-82
54,0,0,44,0,-44
55,1,1,451,1320,869
56,1,1,207,1781,1574
57,0,0,72,0,-72
58,0,0,24,0,-24
59,1,0,127,0,-127
60,0,0,67,0,-67
61,1,0,25,0,-25
62,0,0,8,0,-8
63,0,0,17,0,-17
64,1,1,218,1202,984
65,0,0,1,0,-1
66,0,0,62,0,-62
67,1,1,271,1306,1035
68,1,1,451,1203,752
69,1,1,257,1226,969
70,1,0,194,0,-194
71,1,1,502,1276,774
72,1,0,40,0,-40
73,1,0,27,0,-27
74,1,0,13,0,-13
75,1,0,4,0,-4
76,1,0,3,0,-3
77,1,1,261,1321,1060
78,1,1,162,1947,1785
79,1,1,875,1280,405
80,0,0,27,0,-27
81,1,1,518,1561,1043
82,1,0,15,0,-15
83,1,0,5,0,-5
84,0,0,6,0,-6
85,1,0,12,0,-12
86,0,0,72,0,-72
